service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
46901,1,1,1,1,1,0,0,20160829,20160903
46902,1,1,1,1,0,0,0,20160829,20160903
46903,0,1,1,1,1,0,0,20160829,20160903
46904,0,1,1,1,1,0,0,20160829,20160903
46905,0,0,0,0,1,0,0,20160829,20160903
46906,0,0,0,0,0,1,0,20160829,20160903
46907,0,0,0,0,0,1,0,20160829,20160903
46908,0,0,0,0,0,0,1,20160829,20160903
46909,0,0,0,0,0,0,1,20160829,20160903
46910,0,0,1,1,1,1,0,20160829,20160903
46911,0,1,1,1,1,1,0,20160829,20160903
46912,0,1,1,1,1,1,0,20160829,20160903
46913,1,0,0,0,0,0,0,20160829,20160903
46914,1,0,0,0,0,0,0,20160829,20160903
46915,1,0,0,0,0,0,0,20160829,20160903
46916,0,1,0,0,0,0,0,20160829,20160903
46917,0,1,0,0,0,0,0,20160829,20160903
46918,1,0,1,1,1,0,0,20160829,20160903
46919,1,0,1,1,1,0,0,20160829,20160903
46920,0,0,1,0,0,0,0,20160829,20160903
46921,0,0,1,0,0,0,0,20160829,20160903
46922,1,1,0,1,1,0,0,20160829,20160903
46923,1,1,0,1,1,0,0,20160829,20160903
46924,0,0,0,1,0,0,0,20160829,20160903
46925,0,0,0,1,0,0,0,20160829,20160903
46926,1,1,1,0,1,0,0,20160829,20160903
46927,1,1,1,0,1,0,0,20160829,20160903
46928,0,1,1,0,0,0,0,20160829,20160903
46929,0,1,1,0,0,0,0,20160829,20160903
46930,1,0,0,1,1,0,0,20160829,20160903
46931,1,0,0,1,1,0,0,20160829,20160903
46932,1,1,0,0,1,0,0,20160829,20160903
46933,1,1,0,0,1,0,0,20160829,20160903
46934,1,1,1,1,1,0,1,20160829,20160903
46935,1,1,1,1,1,0,1,20160829,20160903
46936,1,1,1,1,1,1,0,20160829,20160903
46937,1,1,1,1,1,1,0,20160829,20160903
46938,1,1,1,1,1,1,0,20160829,20160903
46939,1,1,1,1,1,0,0,20160829,20160903
46940,1,1,1,1,0,0,1,20160829,20160903
47001,1,1,1,1,1,0,0,20160904,20161031
47002,1,1,1,1,0,0,0,20160904,20161031
47003,0,1,1,1,1,0,0,20160904,20161031
47004,0,1,1,1,1,0,0,20160904,20161031
47005,0,0,0,0,1,0,0,20160904,20161031
47006,0,0,0,0,0,1,0,20160904,20161031
47007,0,0,0,0,0,1,0,20160904,20161031
47008,0,0,0,0,0,0,1,20160904,20161031
47009,0,0,0,0,0,0,1,20160904,20161031
47010,0,0,1,1,1,1,0,20160904,20161031
47011,0,1,1,1,1,1,0,20160904,20161031
47012,0,1,1,1,1,1,0,20160904,20161031
47013,1,0,0,0,0,0,0,20160904,20161031
47014,1,0,0,0,0,0,0,20160904,20161031
47015,1,0,0,0,0,0,0,20160904,20161031
47016,0,1,0,0,0,0,0,20160904,20161031
47017,0,1,0,0,0,0,0,20160904,20161031
47018,1,0,1,1,1,0,0,20160904,20161031
47019,1,0,1,1,1,0,0,20160904,20161031
47020,0,0,1,0,0,0,0,20160904,20161031
47021,0,0,1,0,0,0,0,20160904,20161031
47022,1,1,0,1,1,0,0,20160904,20161031
47023,1,1,0,1,1,0,0,20160904,20161031
47024,0,0,0,1,0,0,0,20160904,20161031
47025,0,0,0,1,0,0,0,20160904,20161031
47026,1,1,1,0,1,0,0,20160904,20161031
47027,1,1,1,0,1,0,0,20160904,20161031
47028,0,1,1,0,0,0,0,20160904,20161031
47029,0,1,1,0,0,0,0,20160904,20161031
47030,1,0,0,1,1,0,0,20160904,20161031
47031,1,0,0,1,1,0,0,20160904,20161031
47032,1,1,0,0,1,0,0,20160904,20161031
