service_id,date,exception_type
47001,20160905,2
47002,20160905,2
47003,20160905,2
47004,20160906,2
47005,20160905,2
47006,20160905,2
47007,20160906,2
47008,20160906,2
47009,20160905,1
47010,20160906,2
47011,20160905,2
47012,20160906,2
47013,20160905,2
47014,20160906,2
47015,20160906,1
47016,20160905,2
47017,20160906,2
47018,20160905,2
47019,20160906,2
47020,20160905,2
47021,20160906,2
47022,20160905,2
47023,20160906,2
47024,20160905,2
47025,20160906,2
47026,20160905,2
47027,20160906,2
47028,20160905,2
47029,20160906,2
47030,20160905,2
47031,20160906,2
47032,20160905,2
47033,20160906,2
47034,20160905,2
47035,20160906,2
47036,20160905,2
47037,20160906,2
47038,20160906,1
47039,20160906,1
47040,20160905,1
105101,20160905,2
105102,20160905,2
105103,20160905,2
105104,20160906,2
105105,20160905,2
105106,20160905,2
105107,20160906,2
105108,20160906,2
105109,20160905,1
105110,20160906,2
105111,20160905,2
105112,20160906,2
105113,20160905,2
105114,20160906,2
105115,20160906,1
105116,20160905,2
105117,20160906,2
105118,20160905,2
105119,20160906,2
105120,20160905,2
105121,20160906,2
105122,20160905,2
105123,20160906,2
105124,20160905,2
105125,20160906,2
105126,20160905,2
105127,20160906,2
105128,20160905,2
105129,20160906,2
105130,20160905,2
105131,20160906,2
105132,20160905,2
105133,20160906,2
105134,20160905,2
105135,20160906,2
105136,20160905,2
105137,20160906,2
105138,20160906,1
105139,20160906,1
105140,20160905,1
205101,20160905,2
